id,line_number,start_km,end_km,passenger_train_speed,is_single_track,second_track_speed
1,1,2.405,3.779,100,false,100
2,1,3.779,4.080,120,false,120
3,1,4.080,5.608,160,false,160
4,1,5.608,7.100,120,false,120
5,1,7.100,11.638,160,false,160
6,1,11.638,61.350,160,false,160
7,1,61.350,63.300,160,false,160
8,1,63.300,65.400,150,false,150
9,1,65.400,67.600,100,false,100
10,1,67.600,71.700,150,false,150
11,1,71.700,75.750,160,false,160
12,1,75.750,81.600,150,false,150
13,1,81.600,86.100,140,false,140
14,1,86.100,91.950,160,false,160
15,1,91.950,92.800,150,false,150
16,1,92.800,103.500,160,false,160
17,1,103.500,106.100,100,false,100
18,1,106.100,195.500,120,false,120
19,1,195.500,199.030,140,false,140
20,1,199.030,229.245,120,false,120
21,1,229.245,230.380,100,false,100
22,1,230.380,231.180,100,false,100
23,1,231.180,231.390,120,false,120
24,1,231.390,233.620,120,false,120
25,1,233.620,234.230,120,false,120
26,1,234.230,263.520,160,false,160
27,1,263.520,264.620,150,false,150
28,1,264.620,272.640,160,false,160
29,1,272.640,273.180,110,false,110
30,1,273.180,273.250,120,false,120
31,1,273.250,275.290,120,false,120
32,1,275.290,277.050,130,false,130
33,1,277.050,277.590,120,false,120
34,1,277.590,283.480,130,false,130
35,1,283.480,283.680,120,false,120
36,1,283.680,291.570,130,false,130
37,1,291.570,299.200,120,false,120
38,1,299.200,301.200,100,false,100
39,1,301.200,307.750,110,false,110
40,1,307.750,314.700,100,false,100
41,1,314.700,317.311,90,false,100
42,1,317.311,318.629,70,false,70
43,2,-2.425,-2.145,100,false,100
44,2,-2.145,-0.600,80,false,100
45,2,-0.600,0.700,60,false,60
46,2,0.700,3.450,80,false,80
47,2,3.450,4.800,60,false,60
48,2,4.800,5.500,100,false,60
49,2,5.500,9.200,100,false,120
50,2,9.200,12.900,160,false,160
51,2,12.900,20.530,160,false,160
52,2,20.530,38.940,160,false,160
53,2,38.940,41.700,120,false,120
54,2,41.700,92.000,160,false,160
55,2,92.000,95.100,120,false,120
56,2,95.100,197.200,160,false,160
57,2,197.200,197.800,130,false,130
58,2,197.800,198.500,140,false,140
59,2,198.500,203.650,160,false,160
60,2,203.650,203.750,70,false,70
61,2,203.750,208.549,160,false,160
62,2,208.549,210.300,120,false,120
63,2,210.300,211.657,40,true,
64,3,7.022,7.835,100,false,70
65,3,7.835,8.400,70,false,70
66,3,8.400,10.100,100,false,100
67,3,10.100,11.400,120,false,100
68,3,11.400,12.200,150,false,150
69,3,12.200,21.000,160,false,160
70,3,21.000,23.900,130,false,130
71,3,23.900,24.400,110,false,110
72,3,24.400,27.200,140,false,140
73,3,27.200,53.300,160,false,160
74,3,53.300,53.900,120,false,120
75,3,53.900,54.050,100,false,100
76,3,54.050,55.680,130,false,100
77,3,55.680,56.390,140,false,140
78,3,56.390,58.400,150,false,150
79,3,58.400,58.930,140,false,140
80,3,58.930,60.500,160,false,160
81,3,60.500,64.730,160,false,160
82,3,64.730,65.380,150,false,150
83,3,65.380,70.100,160,false,160
84,3,70.100,70.360,150,false,150
85,3,70.360,75.360,160,false,160
86,3,75.360,75.930,150,false,150
87,3,75.930,76.950,160,false,160
88,3,76.950,77.600,140,false,140
89,3,77.600,81.200,130,false,130
90,3,81.200,82.600,140,false,140
91,3,82.600,164.200,160,false,160
92,3,164.200,165.640,160,false,160
93,3,165.640,167.950,120,false,120
94,3,167.950,174.760,160,false,160
95,3,174.760,175.470,100,false,100
96,3,175.470,199.380,160,false,160
97,3,199.380,204.180,140,false,140
98,3,204.180,231.280,160,false,160
99,3,231.280,232.420,140,false,140
100,3,232.420,290.850,160,false,160
101,3,290.850,295.300,140,false,140
102,3,295.300,297.800,130,false,130
103,3,297.800,302.800,100,false,100
104,3,302.800,309.600,90,false,90
105,3,309.600,310.300,140,false,140
106,3,310.300,373.100,160,false,160
107,3,373.100,378.400,160,false,160
108,3,378.400,382.500,120,false,120
109,3,382.500,385.600,100,false,100
110,3,385.600,385.890,60,false,60
111,3,385.890,385.930,50,false,60
112,3,385.930,386.400,60,false,60
113,3,386.400,388.750,100,false,100
114,3,388.750,393.900,120,false,120
115,3,393.900,405.800,160,false,160
116,3,405.800,408.500,120,false,120
117,3,408.500,419.600,160,false,160
118,3,419.600,422.400,150,false,150
119,3,422.400,475.700,160,false,160
120,3,475.700,477.400,140,false,140
121,3,477.400,478.098,100,false,100
122,4,1.087,1.813,160,false,160
123,4,1.813,3.200,200,false,200
124,4,3.200,14.049,200,false,200
125,4,14.049,222.400,160,false,160
126,4,222.400,224.889,110,false,110
127,6,14.411,176.893,160,false,160
128,6,176.893,178.471,90,false,90
129,6,178.471,217.810,100,true,
130,6,217.810,234.349,80,true,
131,6,234.349,236.970,60,true,
132,6,236.970,236.980,60,true,
