id,line_number,discriminant,station_name,axis_km,latitude,longitude
1,1,ST,Warszawa Zachodnia,3.082,52.2200903,20.9651803
2,1,POGP,Warszawa Włochy,6.804,52.206915,20.9171483
3,1,ST,Pruszków,15.891,52.1680597,20.7983506
4,1,ST,Grodzisk Mazowiecki,29.548,52.1101483,20.6224214
5,1,PO,Jaktorów,35.032,52.0867325,20.5521675
6,1,PO,Międzyborów,40.468,52.0635814,20.4824628
7,1,ST,Żyrardów,43.141,52.0520969,20.4479542
8,1,PO,Sucha Żyrardowska,50.033,52.0228947,20.359495
9,1,PO,Jesionka,51.959,52.0148142,20.3347558
10,1,PO,Radziwiłłów Mazowiecki,55.404,52.0002753,20.2903767
11,1,PO,Skierniewice Rawka,60.779,51.9775589,20.2212819
12,1,ST,Skierniewice,65.926,51.9671575,20.1498425
13,1,PO,Dąbrowice Skierniewickie,71.355,51.9333564,20.1022939
14,1,PO,Maków,75.372,51.9422214,20.0456217
15,1,ST,Płyćwia,80.131,51.916685,20.0020389
16,1,PO,Lipce Reymontowskie,84.710,51.9052103,19.9432317
17,1,PO,Krosnowa,89.822,51.8633281,19.9232139
18,1,PO,Przyłęk Duży,92.345,51.8409694,19.9174028
19,1,ST,Rogów,95.723,51.8177553,19.8859083
20,1,PO,Wągry,99.619,51.7910811,19.8493306
21,1,ST,Koluszki,105.194,51.7453014,19.8193356
22,1,PO,Chrusty Nowe,111.011,51.6946956,19.7942633
23,1,ST,Rokiciny,114.176,51.6675286,19.7807122
24,1,PO,Łaznów,118.651,51.6310883,19.7547794
25,1,PO,Wolbórka,123.399,51.5935211,19.7236411
26,1,ST,Baby,129.944,51.5369919,19.7168194
27,1,PO,Moszczenica,133.825,51.5036581,19.7005414
28,1,PO,Jarosty,138.545,51.4615128,19.6931775
29,1,ST,Piotrków Trybunalski,144.242,51.4105617,19.6848344
30,1,PO,Milejów,150.389,51.3556058,19.6757981
31,1,ST,Rozprza,156.555,51.3015361,19.6601825
32,1,PO,Luciążanka,159.433,51.2770533,19.648135
33,1,PO,Wilkoszewice,162.533,51.2515097,19.6304094
34,1,ST,Gorzkowice,166.718,51.2182428,19.6032325
35,1,PO,Gorzędów,171.660,51.1969489,19.5437083
36,1,PO,Kamieńsk,175.004,51.1862292,19.49902
37,1,ST,Gomunice,177.694,51.1642456,19.4870144
38,1,PO,Dobryszyce koło Radomska,183.452,51.1243328,19.4443886
39,1,ST,Radomsko,189.133,51.0745689,19.4376928
40,1,PO,Bobry,194.756,51.0287322,19.4048531
41,1,PO,Widzów Teklinów,200.710,50.9808322,19.3670856
42,1,PO,Jacków,202.758,50.9641806,19.3546242
43,1,ST,Kłomnice,208.201,50.9159589,19.3415806
44,1,PO,Rzerzęczyce,210.606,50.8973242,19.3284297
45,1,ST,Rudniki koło Częstochowy,217.700,50.8781567,19.2322614
46,1,PO,Częstochowa Aniołów,225.816,50.8353992,19.1519217
47,1,ST,Częstochowa,229.745,50.8086903,19.1210189
48,1,PO,Częstochowa Raków,233.500,50.7876381,19.1554592
49,1,PO,Korwinów,239.158,50.7389967,19.1765236
50,1,PO,Poraj,246.950,50.6769092,19.2193508
51,1,PO,Masłońskie Natalin,250.787,50.6504244,19.2540783
52,1,PO,Żarki-Letnisko,254.088,50.6233708,19.2728961
53,1,PO,Myszków Nowa Wieś,257.525,50.5948328,19.2915756
54,1,ST,Myszków,261.016,50.5745317,19.3283528
55,1,PO,Myszków Światowit,263.442,50.5656167,19.3596814
56,1,PO,Myszków Mrzygłód,266.370,50.5431531,19.3775025
57,1,PO,Zawiercie Borowe Pole,270.300,50.5110653,19.3986917
58,1,ST,Zawiercie,274.227,50.4809444,19.4231181
59,1,ST,Łazy,280.654,50.4298867,19.3915517
60,1,PO,Wiesiółka,284.313,50.4146553,19.3490919
61,1,PO,Chruszczobród,286.557,50.4000008,19.3294558
62,1,PO,Dąbrowa Górnicza Sikorka,289.202,50.3886403,19.2974028
63,1,ST,Dąbrowa Górnicza Ząbkowice,292.896,50.3668464,19.2650044
64,1,PO,Dąbrowa Górnicza Pogoria,295.398,50.3504712,19.2407866
65,1,PO,Dąbrowa Górnicza Gołonóg,296.726,50.3438667,19.2261011
66,1,ST,Dąbrowa Górnicza,300.267,50.3305911,19.1834539
67,1,PO,Będzin Ksawera,302.077,50.3305847,19.1587453
68,1,PO,Będzin Miasto,304.385,50.3187978,19.1355508
69,1,PO,Sosnowiec Środula,307.080,50.2867681,19.1513048
70,1,ST,Sosnowiec Główny,309.544,50.2787675,19.1262233
71,1,PO,Katowice Morawa,311.830,50.263849,19.108115
72,1,PO,Katowice Szopienice Południowe,312.910,50.2589556,19.0931844
73,1,ST,Katowice Zawodzie,315.653,50.2573869,19.0551833
74,1,ST,Katowice,318.378,50.2575667,19.0172519
75,2,ST,Warszawa Zachodnia,-2.424,52.2200903,20.9651803
76,2,ST,Warszawa Centralna,0.000,52.2286969,21.0027278
