id,station_id,name,platform_number,track_number,height,length
1,,Adamowo,1,1,550,120
2,,Aleksandrów,1,1,760,100
3,578,Aleksandrów Kujawski,1,"1,11",300,331
4,578,Aleksandrów Kujawski,1,2,300,359
5,578,Aleksandrów Kujawski,2,5,760,100
6,855,Andrychów,1,2,760,202
7,855,Andrychów,1,1,760,200
8,,Andrychów Górnica,1,1,420,196
9,,Andrzejówka,1,3,760,200
10,,Andrzejówka,1,1,760,200
11,,Anieliny,1,1,300,219
12,,Anieliny,2,2,300,223
13,,Antonin,1,1,300,260
14,,Antonin,1,2,300,260
15,,Antoniów,1,1,300,167
16,,Antoniówka,1,1,300,197
17,,Antoniówka,2,2,300,201
18,,Arcelin,1,1,550,200
19,634,Augustów,1,4a,340,50
20,634,Augustów,2,2,760,250
21,634,Augustów,2,1,760,250
22,,Augustów Port,1,1,760,120
23,,Augustówka,1,1,760,200
24,,Augustówka,2,2,760,200
25,780,Babiak,1,4,300,187
26,780,Babiak,2,1,300,302
27,780,Babiak,2,2,300,302
28,,Babica,1,1,550,100
29,,Babica,2,2,550,100
30,,Babica Kolonia,1,1,550,100
31,622,Babimost,1,2,760,200
32,622,Babimost,2,1,760,350
33,,Baborówko,1,1,760,200
34,,Baborówko,2,2,760,200
35,,Baboszewo,2,1,550,218
36,,Baby,1,1,550,200
37,,Baby,2,2,550,200
38,,Baciuty,1,1,760,200
39,,Baciuty,1,3,760,200
40,,Baciuty,2,2,760,200
41,,Baciuty,2,4,760,200
42,,Bajtkowo,1,1,760,120
43,,Balin,1,1,760,200
44,,Balin,2,2,760,200
45,,Balinka,1,1,760,120
46,,Bańska Niżna,1,1,760,200
47,1099,Baranówka,1,2,380,200
48,1099,Baranówka,1,1,380,200
49,,Barchów,1,1,760,200
50,,Barchów,2,2,760,200
51,,Barcice,1,1,760,200
52,,Barcząca,1,1,550,200
53,,Barcząca,2,2,550,200
54,,Barczewo,1,1,350,259
55,,Barczewo,2,2,330,210
56,,Barczewo,2,1,330,210
57,,Bardo Przyłęk,1,2,380,205
58,,Bardo Przyłęk,2,1,380,335
59,,Bardo Śląskie,1,1,300,285
60,,Bardo Śląskie,2,2,300,290
61,,Barłogi,1,4A,300,205
62,,Barłogi,2,5,300,205
63,,Bartąg,1,1,760,150
64,,Bartnica,1,1,400,190
65,,Bartnica,2,2,300,200
66,,Bartodzieje,1,1,760,200
67,,Bartodzieje,2,2,760,200
68,,Barwałd Górny,1,1,250,200
69,,Barwałd Średni,1,1,760,150
70,,Barwałd Średni,2,3,760,150
71,,Barzkowice,1,1,360,156
72,,Baszewice,1,1,350,100
73,,Basznia,1,1,350,200
74,,Basznia,1,3,350,200
75,,Basznia Dolna,1,1,300,60
76,,Batowice Lubańskie,1,1,200,62
77,,Bażanowice,1,1,760,150
78,,Bąk,1,4,300,100
79,,Bąk,2,2,300,100
80,,Bąk,3,1,300,100
81,,Bąkowiec,2,1,760,253
82,,Bąkowiec,2,2,760,253
83,,Bąków,1,1,300,188
84,,Bąków,2,2,300,249
85,,Bednary,1,3,760,200
86,,Bednary,1,1,760,200
87,,Bednary,2,2,760,200
88,,Bednary,2,4,760,200
89,,Bedoń,1,1,760,200
90,,Bedoń,2,2,760,200
91,,Bedoń,3,1,300,200
92,,Belęcin Wielkopolski,1,1,300,128
93,,Bełchów,1,2,760,200
94,,Bełchów,1,1,760,200
95,,Bełsznica,1,1,760,150
96,,Bełżec,1,3,480,350
97,,Bełżec Drugi,1,1,345,165
98,,Berejów,1,1,760,100
99,,Berezów,2,2,300,200
100,,Besko,1,1,370,139
101,,Bezwola,1,1,760,100
102,,Będów,1,1,550,200
103,,Będów,2,2,550,200
104,,Będziemyśl,1,1,550,200
105,,Będziemyśl,2,2,550,200
106,,Będzin Ksawera,1,1,760,200
107,,Będzin Ksawera,1,2,760,200
108,542,Będzin Miasto,1,1,760,200
109,542,Będzin Miasto,2,2,760,200
110,,Będzino,1,1,300,201
111,,Będźmierowice,1,1,300,94
112,,Biadki,1,1,300,250
113,,Biadki,1,2,300,250
114,,Biadoliny,1,1,550,200
115,,Biadoliny,2,2,550,200
116,,Biała Pilska,1,2,300,120
117,,Biała Pilska,2,1,300,110
118,766,Biała Piska,1,1,760,120
119,505,Biała Podlaska,1,2,76,400
120,505,Biała Podlaska,2,3,760,400
121,505,Biała Podlaska,2,1,760,400
122,,Biała Podlaska Wschodnia,1,11,760,200
123,,Biała Podlaska Wschodnia,2,12,760,200
124,,Biała Szlachecka,1,1,760,85
125,,Białki Siedleckie,1,1,550,200
126,,Białki Siedleckie,2,2,550,200
127,705,Białogard,1,4,200,315
128,705,Białogard,2,1,300,398
129,705,Białogard,2,2,300,400
130,705,Białogard,3,5,300,297
131,705,Białogard,3,3,300,300
132,,Białośliwie,1,1,760,400
133,,Białośliwie,2,2,760,400
134,,Białośliwie,2,4,760,318
135,,Białuń,1,1,260,251
136,,Białuń,1,2,260,251
137,,Biały Bór,1,2,290,165
138,,Biały Bór,2,2,280,165
139,,Biały Bór,2,1,280,165
140,,Biały Dunajec,1,2,290,136
141,,Biały Dunajec,2,3,760,200
142,,Biały Dunajec,2,1,760,200
143,,Biały Kościół,1,3,380,195
144,,Biały Kościół,2,1,380,195
145,,Biały Zdrój Południowy,1,1,380,109
146,483,Białystok,1,4,550,425
147,483,Białystok,1,6,550,236
148,483,Białystok,2,1,760,420
149,483,Białystok,2,2,760,420
150,483,Białystok,3,5,760,300
151,483,Białystok,3,3,760,300
