line_number,name,start_point,start_km,end_point,end_km,notes
1,WARSZAWA ZACHODNIA - KATOWICE,WARSZAWA ZACHODNIA,2.405,KATOWICE,318.686,
2,WARSZAWA ZACHODNIA - TERESPOL,WARSZAWA ZACHODNIA,-2.425,GRANICA PAŃSTWA,211.657,
3,WARSZAWA ZACHODNIA - KUNOWICE,WARSZAWA ZACHODNIA,2.693,GRANICA PAŃSTWA,478.098,
4,GRODZISK MAZOWIECKI - ZAWIERCIE,GRODZISK MAZOWIECKI,1.087,ZAWIERCIE,224.915,
6,ZIELONKA - KUŹNICA BIAŁOSTOCKA,ZIELONKA,14.411,GRANICA PAŃSTWA,238.574,
7,WARSZAWA WSCHODNIA OSOBOWA - DOROHUSK,WARSZAWA WSCHODNIA OSOBOWA,4.062,GRANICA PAŃSTWA,271.533,
8,WARSZAWA ZACHODNIA - KRAKÓW GŁÓWNY,WARSZAWA ZACHODNIA,2.482,KRAKÓW GŁÓWNY,319.805,
9,WARSZAWA WSCHODNIA OSOBOWA - GDAŃSK GŁÓWNY,WARSZAWA WSCHODNIA OSOBOWA,4.407,GDAŃSK GŁÓWNY,327.800,
10,LEGIONOWO - TŁUSZCZ,LEGIONOWO,-0.853,TŁUSZCZ,35.911,
11,SKIERNIEWICE - ŁOWICZ GŁÓWNY,SKIERNIEWICE,0.263,ŁOWICZ GŁÓWNY,22.111,
12,SKIERNIEWICE - ŁUKÓW,SKIERNIEWICE,-0.407,ŁUKÓW,161.160,
13,KRUSZE - PILAWA,KRUSZE,-0.269,PILAWA,56.335,
14,ŁÓDŹ KALISKA - TUPLICE,ŁÓDŹ KALISKA,-0.983,GRANICA PAŃSTWA,389.080,
15,BEDNARY - ŁÓDŹ KALISKA,BEDNARY,-0.693,ŁÓDŹ KALISKA,68.734,
16,ŁÓDŹ WIDZEW - KUTNO,ŁÓDŹ WIDZEW,-0.643,KUTNO,71.266,
17,ŁÓDŹ FABRYCZNA - KOLUSZKI,ŁÓDŹ FABRYCZNA,-0.142,KOLUSZKI,26.400,
18,KUTNO - PIŁA GŁÓWNA,KUTNO,-0.271,PIŁA GŁÓWNA,247.731,
19,WARSZAWA GŁÓWNA TOWAROWA - JÓZEFINÓW,WARSZAWA GŁÓWNA TOWAROWA,1.094,JÓZEFINÓW,6.255,
20,WARSZAWA GŁÓWNA TOWAROWA - WARSZAWA PRAGA,WARSZAWA GŁÓWNA TOWAROWA,-1.094,WARSZAWA PRAGA,14.102,
21,WARSZAWA WILEŃSKA - WOŁOMIN SŁONECZNA,WARSZAWA WILEŃSKA,0.062,WOŁOMIN SŁONECZNA,19.652,
22,TOMASZÓW MAZOWIECKI - RADOM GŁÓWNY,TOMASZÓW MAZOWIECKI,0.913,RADOM GŁÓWNY,88.238,
23,"WARSZAWA GŁÓWNA OSOBOWA - WARSZAWA ZACHODNIA T2/1G, 12/2G",WARSZAWA GŁÓWNA OSOBOWA,1.424,WARSZAWA ZACHODNIA,2.651,
24,PIOTRKÓW TRYBUNALSKI - ZARZECZE,PIOTRKÓW TRYBUNALSKI,2.178,ZARZECZE,34.350,
25,ŁÓDŹ KALISKA - DĘBICA,ŁÓDŹ KALISKA,-0.394,DĘBICA,323.217,Linia nieudostępniana na odcinku Chmielów - Padew - Mielec od 16.03.2026 do 02.09.2026
26,ŁUKÓW - RADOM GŁÓWNY,ŁUKÓW,0.292,RADOM GŁÓWNY,117.400,
27,NASIELSK - TORUŃ WSCHODNI,NASIELSK,0.281,TORUŃ WSCHODNI,165.023,
28,WIELISZEW - ZEGRZE POŁUDNIOWE,WIELISZEW,-1.042,ZEGRZE POŁUDNIOWE,3.342,
29,TŁUSZCZ - OSTROŁĘKA,TŁUSZCZ,-0.999,OSTROŁĘKA,75.047,
30,ŁUKÓW - LUBLIN PÓŁNOCNY,ŁUKÓW,1.570,LUBLIN PÓŁNOCNY,107.606,
