stop_id,difficulty_id,location
1076138,30,Warszawa Wschodnia
1076154,147,Warszawa Wschodnia
1076155,147,Warszawa Wschodnia
1076181,30,
1076218,30,
1076219,30,
1076353,30,Tunel
1076357,143,Sprowa
1076362,142,Warszawa Wschodnia
1076364,142,Warszawa Zachodnia
1076365,148,
1076366,142,Warszawa Wschodnia
1076392,32,Piaseczno
1076393,141,
1076394,142,
1076395,32,Skarżysko-Kam. Ska
1076396,142,
1076398,30,
1076399,30,Tunel
1076403,32,Warszawa Okęcie R211
1076405,141,
1076407,142,Starachowice Wschodnie
1076408,142,Starachowice Wschodnie
1076410,142,
1076421,146,Warszawa Wschodnia
1076422,30,Warszawa Centralna
1076423,30,Warszawa Zachodnia
1076425,30,Warszawa Okęcie
1076428,30,Wąchock
1076431,142,Grębów
1076445,142,
1076462,30,Warszawa Wschodnia
1076468,30,Warszawa Wschodnia
1076470,30,Warszawa Zachodnia
1076487,146,Warszawa Wschodnia
1076527,141,
1076557,143,
1076572,143,Montowo
1076599,143,
1076600,143,Chotomów
1076601,143,Gąsocin
1076616,30,Rogów
1076618,151,Józefinów
1076636,30,Łódź Widzew
1076640,142,Warszawa Zachodnia
1076648,153,Iława Główna
1076650,148,Malbork
1076664,144,Warszawa Wschodnia
1076713,141,
1076714,141,
1076736,144,Kutno GT 201-214
1076748,146,
1076749,142,
1076762,147,
1076766,143,Błonie
1076768,148,Warszawa Wschodnia
1076769,148,Warszawa Wschodnia
1076771,143,Kłodawa
1076778,199,
1076794,141,
1076800,141,
1076821,141,
1076837,142,
1076839,141,Warszawa Wschodnia
1076842,142,
1076843,142,
1076844,142,
1076845,142,
1076848,142,Łask
1076849,142,Zduńska Wola
1076851,141,
1076854,142,Milicz
1076872,148,
1076897,142,
1076898,142,
1076903,142,
1076910,141,
1076911,142,
1076912,142,
1076914,142,
1076932,143,
1076939,141,
1076956,148,
1076957,148,Warszawa Centralna
1076960,144,
1076964,144,
1076986,151,
1077001,141,
1077007,199,
1077011,141,
1077014,142,
1077049,146,Lubliniec
1077050,199,
1077062,144,
1077063,144,
1077065,141,
1077078,142,Warszawa Zachodnia
