id,service_id,segment_order,line_number,from_station_name,to_station_name,from_km,to_km,confidence
823008,2,0,132,Wrocław Główny,Wrocław Brochów,181.041,175.726,auto
823009,2,1,132,Wrocław Brochów,Wrocław Brochów PODG,175.726,173.124,auto
823010,2,2,132,Wrocław Brochów PODG,Święta Katarzyna,173.124,170.974,auto
823011,2,3,132,Święta Katarzyna,Zębice Wrocławskie,170.974,167.205,auto
823012,2,4,132,Zębice Wrocławskie,Lizawice,167.205,161.866,auto
823013,2,5,132,Lizawice,Oława Zachodnia,161.866,157.1,auto
823014,2,6,132,Oława Zachodnia,Oława,157.1,154.513,auto
823015,2,7,132,Oława,Lipki,154.513,148.076,auto
823016,2,8,132,Lipki,Brzeg,148.076,139.447,auto
823017,2,9,132,Brzeg,Łosiów,139.447,130.041,auto
823018,2,10,132,Łosiów,Lewin Brzeski,130.041,124.715,auto
823019,2,11,132,Lewin Brzeski,Lewin Brzeski,124.715,124.37,auto
823020,2,12,132,Lewin Brzeski,Przecza,124.37,119.858,auto
823021,2,13,132,Przecza,Dąbrowa Niemodlińska,119.858,112.385,auto
823022,2,14,132,Dąbrowa Niemodlińska,Chróścina Opolska,112.385,107.03,auto
823023,2,15,132,Chróścina Opolska,Opole Zachodnie,107.03,101.331,auto
823024,2,16,132,Opole Zachodnie,Opole Główne,101.331,99.322,auto
823025,2,17,144,Opole Główne,Bolko,75.924,73.769,inferred
823026,2,18,144,Bolko,Suchy Bór Opolski,73.769,68.154,inferred
823027,2,19,144,Suchy Bór Opolski,Chrząstowice,68.154,65.432,inferred
823028,2,20,144,Chrząstowice,Dębska Kuźnia,65.432,62.575,inferred
823029,2,21,144,Dębska Kuźnia,Ozimek,62.575,55.357,inferred
823030,2,22,144,Ozimek,Krasiejów,55.357,52.459,inferred
823031,2,23,144,Krasiejów,Staniszcze Małe,52.459,47.56,inferred
823032,2,24,144,Staniszcze Małe,Fosowskie,47.56,44.474,inferred
823033,2,25,61,Fosowskie,Pludry,176.335,168.443,inferred
823034,2,26,61,Pludry,Pawonków,168.443,161.223,inferred
823035,2,27,61,Pawonków,Lisowice,161.223,156.795,inferred
823036,2,28,61,Lisowice,Lubliniec,156.795,152.231,inferred
823037,2,29,61,Lubliniec,Jawornica,152.231,149.84,auto
823038,2,30,61,Jawornica,Kochanowice,149.84,145.837,auto
823039,2,31,61,Kochanowice,Lisów,145.837,141.799,auto
823040,2,32,61,Lisów,Liswarta,141.799,138.615,auto
823041,2,33,61,Liswarta,Herby Stare,138.615,134.666,auto
823042,2,34,61,Herby Stare,Blachownia,134.666,128.317,auto
823043,2,35,61,Blachownia,Blachownia,128.317,127.655,auto
823044,2,36,61,Blachownia,Częstochowa Gnaszyn,127.655,122.931,auto
823045,2,37,61,Częstochowa Gnaszyn,Częstochowa Gnaszyn,122.931,122.211,auto
823046,2,38,61,Częstochowa Gnaszyn,Częstochowa Stradom,122.211,117.223,auto
823047,2,39,61,Częstochowa Stradom,Kucelinka,117.223,110.251,auto
823048,2,40,61,Kucelinka,Kusięta Nowe,110.251,104.217,auto
823049,2,41,61,Kusięta Nowe,Turów,104.217,99.679,auto
823050,2,42,61,Turów,Lusławice,99.679,93.962,auto
823051,2,43,61,Lusławice,Julianka,93.962,87.888,auto
823052,2,44,61,Julianka,Staropole Częstochowskie,87.888,83.935,auto
823053,2,45,61,Staropole Częstochowskie,Podlesie,83.935,78.508,auto
823054,2,46,61,Podlesie,Koniecpol Magdasz,78.508,74.854,auto
823055,2,47,61,Koniecpol Magdasz,Koniecpol Centrum,74.854,73.466,auto
823056,2,48,61,Koniecpol Centrum,Koniecpol,73.466,71.478,auto
823057,2,49,61,Koniecpol,Żelisławice,71.478,59.716,auto
823058,2,50,61,Żelisławice,Czarnca,59.716,53.261,auto
823059,2,51,61,Czarnca,Czarnca,53.261,53.035,auto
823060,2,52,61,Czarnca,Włoszczowa,53.035,47.735,auto
823061,2,53,61,Włoszczowa,Ludynia Dwór,47.735,40.567,auto
823062,2,54,61,Ludynia Dwór,Ludynia,40.567,36.699,auto
823063,2,55,61,Ludynia,Bukowa,36.699,32.538,auto
823064,2,56,61,Bukowa,Małogoszcz,32.538,27.306,auto
823065,2,57,61,Małogoszcz,Wierna Rzeka,27.306,23.735,auto
823066,2,58,61,Wierna Rzeka,Rykoszyn,23.735,19.024,auto
823067,2,59,61,Rykoszyn,Rykoszyn,19.024,18.235,auto
823068,2,60,61,Rykoszyn,Piekoszów Łaziska,18.235,14.122,auto
823069,2,61,61,Piekoszów Łaziska,Piekoszów,14.122,11.375,auto
823070,2,62,61,Piekoszów,Szczukowice,11.375,10.74,auto
823071,2,63,61,Szczukowice,Szczukowskie Górki,10.74,8.173,auto
823072,2,64,61,Szczukowskie Górki,Kielce Ślichowice,8.173,3.723,auto
823073,2,65,61,Kielce Ślichowice,Kielce Herbskie,3.723,2.254,auto
823074,2,66,61,Kielce Herbskie,Kielce Główne,2.254,0.0,auto
823075,2,67,8,Kielce Główne,Kielce Piaski,187.672,185.865,auto
823076,2,68,8,Kielce Piaski,Kostomłoty,185.865,182.06,auto
823077,2,69,8,Kostomłoty,Tumlin,182.06,176.198,auto
823078,2,70,8,Tumlin,Zagnańsk,176.198,171.297,auto
823079,2,71,8,Zagnańsk,Łączna,171.297,160.271,auto
823080,2,72,8,Łączna,Berezów,160.271,155.099,auto
823081,2,73,8,Berezów,Suchedniów,155.099,152.404,auto
823082,2,74,8,Suchedniów,Suchedniów Północny,152.404,150.037,auto
823083,2,75,8,Suchedniów Północny,Skarżysko Zachodnie,150.037,145.85,auto
823084,2,76,8,Skarżysko Zachodnie,Skarżysko-Kamienna,145.85,143.442,auto
823085,2,77,8,Skarżysko-Kamienna,Lipowe Pole,143.442,138.68,auto
823086,2,78,8,Lipowe Pole,Szydłowiec,138.68,132.513,auto
823087,2,79,8,Szydłowiec,Gąsawy Plebańskie,132.513,128.639,auto
823088,2,80,8,Gąsawy Plebańskie,Jastrząb,128.639,125.123,auto
823089,2,81,8,Jastrząb,Wola Lipieniecka,125.123,120.7,auto
823090,2,82,8,Wola Lipieniecka,Ruda Wielka,120.7,118.66,auto
823091,2,83,8,Ruda Wielka,Dąbrówka Zabłotnia,118.66,116.78,auto
823092,2,84,8,Dąbrówka Zabłotnia,Rożki,116.78,113.254,auto
823093,2,85,8,Rożki,Trablice,113.254,110.015,auto
823094,2,86,8,Trablice,Radom Południowy,110.015,106.598,auto
823095,2,87,8,Radom Południowy,Radom Główny,106.598,102.944,auto
823096,2,88,26,Radom Główny,Radom Wschodni,117.399,116.398,auto
823097,2,89,26,Radom Wschodni,Rajec Poduchowny,116.398,110.544,auto
823098,2,90,26,Rajec Poduchowny,Antoniówka,110.544,108.55,auto
823099,2,91,26,Antoniówka,Groszowice Wrzosów,108.55,106.794,auto
823100,2,92,26,Groszowice Wrzosów,Jedlnia-Letnisko,106.794,104.993,auto
823101,2,93,26,Jedlnia-Letnisko,Jedlnia Kościelna,104.993,98.7,auto
823102,2,94,26,Jedlnia Kościelna,Pionki Zachodnie,98.7,95.702,auto
823103,2,95,26,Pionki Zachodnie,Pionki,95.702,93.945,inferred
823104,2,96,26,Pionki,Żytkowice,93.945,87.207,inferred
823105,2,97,26,Żytkowice,Garbatka-Letnisko,87.207,81.985,inferred
823106,2,98,26,Garbatka-Letnisko,Bąkowiec,81.985,74.952,inferred
823107,2,99,26,Bąkowiec,Zajezierze koło Dęblina,74.952,67.21,inferred
823108,2,100,26,Zajezierze koło Dęblina,Wisła,67.21,64.97,inferred
823109,2,101,580,Wisła,Wieprz,0.519,0.026,inferred
823110,2,102,7,Wieprz,Skoki - Borowa,106.937,107.85,inferred
823111,2,103,7,Skoki - Borowa,Zarzeka,107.85,109.086,inferred
823112,2,104,7,Zarzeka,Gołąb,109.086,113.666,inferred
823113,2,105,7,Gołąb,Puławy Azoty,113.666,118.057,inferred
823114,2,106,7,Puławy Azoty,Puławy Chemia,118.057,121.546,inferred
823115,2,107,7,Puławy Chemia,Puławy Miasto,121.546,123.901,inferred
823116,2,108,7,Puławy Miasto,Puławy,123.901,126.597,auto
823117,2,109,7,Puławy,Końskowola,126.597,129.625,auto
823118,2,110,7,Końskowola,Klementowice,129.625,135.9,auto
823119,2,111,7,Klementowice,Łopatki,135.9,140.614,auto
823120,2,112,7,Łopatki,Nałęczów,140.614,145.212,auto
823121,2,113,7,Nałęczów,Czesławice,145.212,148.99,auto
823122,2,114,7,Czesławice,Sadurki,148.99,151.808,auto
823123,2,115,7,Sadurki,Miłocin Lubelski,151.808,154.547,auto
