id,line_number,location_name,start_km,end_km,reason,track_number,speed_odd_direction,speed_even_direction,notes,source_region,is_new,regarding_passenger,is_included_in_timetable,is_main_track
16652,1,Warszawa Zachodnia,2.920,3.240,,6,,90,Vd) Linia 3,IZ Warszawa,false,true,true,false
16653,1,Warszawa Zachodnia,2.866,3.260,,2,60,60,Vd) Linia 8,IZ Warszawa,false,true,true,false
16654,1,Koluszki,26.207,26.367,,3,100,100,Vd) Linia 17,IZ Warszawa,false,true,true,false
16655,1,Gomunice - Radomsko,185.150,185.165,przejazd zamknięty w godz. 19.00-7.00,"1, 2",,,,IZ Warszawa,false,true,true,true
16656,2,Siedlce,-0.313,0.660,,4a,80,80,Vd) Linia 31,IZ Warszawa,false,true,true,false
16657,2,Siedlce,0.660,1.968,,4b,80,80,Vd) Linia 31,IZ Warszawa,false,true,true,false
16658,2,Łuków,158.830,158.950,,"3, 5",70,70,Vd) Linia 12,IZ Warszawa,false,true,true,false
16659,2,Łuków,158.950,160.995,,5,80,80,Vd) Linia 12,IZ Warszawa,false,true,true,false
16660,2,Łuków,158.950,161.160,,3,80,80,Vd) Linia 12,IZ Warszawa,false,true,true,false
16661,2,Terespol,207.710,207.720,skanowanie wagonów towarowych,"1, 2",15,15,dot. pociągów towarowych,IZ Warszawa,false,false,true,true
16662,3,Warszawa Zachodnia,2.866,3.260,,2,60,60,Vd) Linia 8,IZ Warszawa,false,true,true,false
16663,3,Ożarów Mazowiecki - Błonie,17.206,17.216,zwiększenie niewłaściwych zachowań użytkowników przejazdu /przejścia,"1, 2",,100,*),IZ Warszawa,false,true,false,true
16664,3,Teresin Niepokalanów - Łowicz Główny,53.150,81.205,"ograniczenie pobierania prądu do 1000A, dotyczy całkowitego poboru","1, 2",,,*),IZ Warszawa,false,true,false,true
16665,3,Łowicz Główny - Żychlin,81.205,106.541,"ograniczenie pobierania prądu do 1000A, dotyczy to całkowitego poboru","1, 2",,,*),IZ Warszawa,false,true,false,true
16666,3,Barłogi,3.587,3.599,,4,40,40,Vd) Linia 737,IZ Warszawa,false,true,true,false
16667,3,Barłogi,-0.544,0.248,,3,60,60,Vd) Linia 809,IZ Warszawa,false,true,true,false
16668,6,Tłuszcz,-0.999,-0.403,,8,40,40,Vd) Linia 29,IZ Warszawa,false,true,true,false
16669,6,Tłuszcz,-0.403,1.657,,8,100,100,Vd) Linia 29,IZ Warszawa,false,true,true,false
16670,6,Małkinia,52.872,52.883,,1,,,,IZ Warszawa,false,true,true,true
16671,6,Łapy,87.634,88.477,,4,60,60,Vd) Linia 36,IZ Warszawa,false,true,true,false
16672,6,Kuźnica Białostocka - Kuźnica Białostocka (gr),236.825,237.125,strefa działania skanera,1,,15,,IZ Warszawa,false,true,true,true
16673,6,Kuźnica Białostocka - Kuźnica Białostocka (gr),238.490,,urządzenia kontroli materiałów promieniotwór- czych,1,8,8,"obok tarczy D1 ""Stój""",IZ Warszawa,false,true,true,true
16674,7,Warszawa Wschodnia,4.248,4.475,,22,60,60,Vd) Linia 448,IZ Warszawa,false,true,true,false
16675,7,Warszawa Wschodnia,4.271,4.470,,23,60,60,Vd) Linia 448,IZ Warszawa,false,true,true,false
16676,7,Warszawa Wawer - Pilawa,13.654,28.872,ograniczenie poboru pądu do 500A w związku z jednostronnym zasilaniem,1,,,*),IZ Warszawa,false,true,false,true
16677,7,Warszawa Wawer - Pilawa,13.654,28.872,ograniczenie poboru pądu do 500A w związku z jednostronnym zasilaniem w kierunku przeciwnym do zasadniczego,2,,,*),IZ Warszawa,false,true,false,true
16678,7,Pilawa,97.350,98.620,,"51, 52",50,50,Vd) Linia 12,IZ Warszawa,false,true,true,false
16679,7,Pilawa,98.620,99.230,,51,60,60,Vd) Linia 12,IZ Warszawa,false,true,true,false
16680,7,Pilawa,98.620,99.249,,52,60,60,Vd) Linia 12,IZ Warszawa,false,true,true,false
16681,7,Pilawa,99.230,100.724,,4,60,60,Vd) Linia 12,IZ Warszawa,false,true,true,false
16682,7,Pilawa,99.249,100.813,,6,60,60,Vd) Linia 12,IZ Warszawa,false,true,true,false
16683,7,Pilawa,54.872,56.335,,54,100,100,Vd) Linia 13,IZ Warszawa,false,true,true,false
