id,name,is_domestic,passenger_volume_rank,latitude,longitude
475,Olsztyn Główny,true,31,53.7857228,20.4975628
476,Giżycko,true,284,54.0314219,21.7781322
477,Stargard,true,52,53.3395728,15.0311472
478,Piła Główna,true,54,53.1428142,16.7439853
479,Żory,true,344,50.0516933,18.7027725
481,Kętrzyn,true,356,54.0726469,21.3851864
482,Łódź Fabryczna,true,23,51.7694772,19.4700042
483,Białystok,true,36,53.1339108,23.1359611
484,Łódź Widzew,true,27,51.7633217,19.5433675
485,Koluszki,true,58,51.7453014,19.8193356
486,Skierniewice,true,18,51.9671575,20.1498425
487,Żyrardów,true,20,52.0520969,20.4479542
488,Warszawa Zachodnia,true,11,52.2200903,20.9651803
489,Warszawa Centralna,true,4,52.2286969,21.0027278
490,Warszawa Wschodnia,true,9,52.2512736,21.0524594
491,Wołomin,true,84,52.3466131,21.2380231
492,Tłuszcz,true,40,52.4307858,21.4345219
493,Łochów,true,86,52.5339981,21.6876506
494,Małkinia,true,157,52.6937364,22.0367131
495,Czyżew,true,217,52.7997308,22.3421914
496,Szepietowo,true,272,52.8700881,22.5411847
497,Łapy,true,194,52.9901411,22.8839189
498,Białystok Zielone Wzgórza,true,314,53.1154908,23.1033389
499,Terespol,true,199,52.0740333,23.6010197
500,Mińsk Mazowiecki,true,28,52.1758481,21.5517764
501,Mrozy,true,85,52.1644222,21.8027317
502,Siedlce,true,26,52.1619497,22.2715467
503,Łuków,true,96,51.9418419,22.3893064
504,Międzyrzec Podlaski,true,225,51.9760133,22.7855744
505,Biała Podlaska,true,118,52.0202381,23.1305756
506,Chotyłów,true,331,51.9968369,23.3566367
507,Małaszewicze,true,322,52.0273053,23.5316422
509,Otwock,true,55,52.1085647,21.2644011
510,Pilawa,true,114,51.9546589,21.5345067
511,Dęblin,true,71,51.5772147,21.8351736
512,Puławy Miasto,true,162,51.4275586,21.9845275
513,Nałęczów,true,265,51.3182172,22.2117317
514,Lublin Zachodni,true,275,51.2190122,22.5089928
515,Lublin Główny,true,24,51.2311725,22.5689492
517,Kraków Główny,true,2,50.0683944,19.9475033
518,Warszawa Służewiec,true,47,52.1799325,20.9869436
519,Piaseczno,true,70,52.0668122,21.0169217
520,Warka,true,161,51.7940411,21.1683692
521,Radom Główny,true,33,51.3909661,21.1553453
522,Skarżysko-Kamienna,true,66,51.1159431,20.8816053
523,Suchedniów,true,264,51.0454172,20.8498631
524,Kielce Główne,true,37,50.8742892,20.6178469
525,Jędrzejów,true,182,50.6449725,20.2760958
526,Sędziszów,true,150,50.5651844,20.0531817
527,Miechów,true,165,50.3546494,20.0112222
528,Zakopane,true,69,49.3007806,19.9630044
529,Nowy Targ,true,210,49.4734656,20.0152481
530,Zawiercie,true,57,50.4809444,19.4231181
531,Sosnowiec Główny,true,64,50.2787675,19.1262233
532,Katowice,true,6,50.2575667,19.0172519
533,Tychy,true,91,50.136925,18.964305
534,Pszczyna,true,100,49.9752436,18.9533708
535,Czechowice-Dziedzice,true,123,49.9151689,19.0049569
536,Bielsko-Biała Główna,true,49,49.8297739,19.0453486
537,Piotrków Trybunalski,true,87,51.4105617,19.6848344
538,Radomsko,true,116,51.0745689,19.4376928
539,Częstochowa,true,30,50.8086903,19.1210189
540,Myszków,true,109,50.5745317,19.3283528
541,Dąbrowa Górnicza,true,128,50.3305911,19.1834539
542,Będzin Miasto,true,179,50.3187978,19.1355508
543,Płock,true,209,52.5527439,19.7126933
544,Gostynin,true,371,52.4335494,19.4763553
545,Kutno,true,67,52.2271922,19.347845
546,Łęczyca,true,254,52.0492481,19.193205
547,Ozorków,true,338,51.9724839,19.2659008
548,Zgierz,true,108,51.8494964,19.4258197
549,Łódź Żabieniec,true,93,51.7935839,19.4070436
550,Łódź Kaliska,true,35,51.7585044,19.4299433
551,Łódź Chojny,true,127,51.726255,19.4844889
552,Żywiec,true,131,49.6795819,19.1857992
554,Iława Główna,true,62,53.5824742,19.5737867
555,Malbork,true,45,54.0358731,19.0430492
556,Tczew,true,21,54.0974403,18.7901806
557,Gdańsk Główny,true,5,54.3553942,18.6439281
558,Gdańsk Wrzeszcz,true,7,54.3820017,18.6050972
559,Gdańsk Oliwa,true,14,54.4094981,18.5719353
560,Sopot,true,10,54.4418144,18.5617683
561,Gdynia Główna,true,8,54.5208617,18.5293044
562,Bydgoszcz Główna,true,15,53.1353269,17.9913603
