id,line_number,line_name,contractor,location_description,track_number,start_km,end_km,work_description,closure_days,closure_hours_per_day,total_closure_hours,speed_limit_adjacent_track,speed_limit_after_work,operation_mode,date_from,date_to,source_file
1413,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,Będzin - Sosnowiec Główny,"1,2",306.150,308.500,domknięcia technologiczne,190,4,760,60,80,przerwa w ruchu,2025-07-06,2026-02-11,I_korekta_SHZT_2024_2025
1414,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Sosnowiec Główny,"1,2,3,5,7,9,
11,13",308.400,309.800,modernizacja,140,24,3360,60,80,"ruch po torach czynnych
w stacji",2025-06-07,2025-10-24,I_korekta_SHZT_2024_2025
1415,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Sosnowiec Główny,"1,2,3,5,7,9,11,
13",308.400,309.800,modernizacja,50,24,1200,60,80,"ruch po torach czynnych
w stacji",2025-10-25,2026-07-11,I_korekta_SHZT_2024_2025
1416,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,"Sosnowiec Główny - Katowice
Zawodzie",2,310.900,312.200,modernizacja,80,24,1920,60,80,"ruch jednotorowy
dwukierunkowy po torze
czynnym",2025-08-06,2025-10-24,I_korekta_SHZT_2024_2025
1417,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,"Sosnowiec Główny - Katowice
Zawodzie",1,310.900,312.200,domknięcia technologiczne,80,4,320,60,80,przerwa w ruchu,2025-08-06,2025-10-24,I_korekta_SHZT_2024_2025
1418,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,"Sosnowiec Główny - Katowice
Zawodzie","1,2",310.900,312.200,modernizacja,49,24,1176,60,80,"przerwa w ruchu
Jazda po torze 6 LK 660",2025-10-25,2026-07-11,I_korekta_SHZT_2024_2025
1419,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Katowice,6,317.023,318.686,modernizacja,183,24,4392,40,120,"ruch po torach czynnych
w stacji",2025-06-03,2025-12-02,I_korekta_SHZT_2024_2025
1420,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Katowice,"13,13a",317.023,318.686,modernizacja,11,24,264,40,120,"ruch po torach czynnych
w stacji",2025-12-03,2026-01-30,I_korekta_SHZT_2024_2025
1421,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Katowice,15a,317.023,318.686,modernizacja,11,24,264,40,100,"ruch po torach czynnych
w stacji",2025-12-03,2026-06-29,I_korekta_SHZT_2024_2025
1422,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Katowice,17,317.023,318.686,modernizacja,11,24,264,40,100,"ruch po torach czynnych
w stacji",2025-12-03,2026-06-29,I_korekta_SHZT_2024_2025
1423,1,"WARSZAWA
ZACHODNIA -
KATOWICE",IRR4/4,st. Katowice,8,317.023,318.686,modernizacja,11,24,264,40,60,"ruch po torach czynnych
w stacji",2025-12-03,2026-03-31,I_korekta_SHZT_2024_2025
1424,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,"Warszawa Zachodnia -
Warszawa Centralna","1, 2",-2.620,-0.300,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,,"bez
ograniczenia",przerwa w ruchu,2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1425,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,st. Warszawa Centralna,"1, 2, 3, 4, 5, 6,
7, 8",-0.300,0.200,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,,"bez
ograniczenia","ruch po torach czynnych
w stacji",2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1426,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,"Warszawa Centralna -
Warszawa Wschodnia","1, 2",0.200,3.690,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,,"bez
ograniczenia",przerwa w ruchu,2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1427,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,st. Warszawa Wschodnia,"1, 1a, 3, 3a, 4,
4a, 4b, 4c, 51,
52, 53, 54, 6,
8, 10, 12, 1T,
2s, 5a, 5b, 40,
41, 44, 61, 63,
81",3.690,4.516,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,,"bez
ograniczenia","ruch po torach czynnych
w stacji",2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1428,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,st. Warszawa Wschodnia,"74, 72, 70, 18,
16, 14",4.516,4.916,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,,"bez
ograniczenia","ruch po torach czynnych
w stacji",2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1429,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,"Warszawa Wschodnia -
Warszawa Podskarbińska","1M, 2M",4.516,6.435,"Modernizacja linii kolejowych i
stacji kolejowych",184,24,4416,20,"bez
ograniczenia",przerwa w ruchu,2025-06-13,2027-06-13,I_korekta_SHZT_2024_2025
1430,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,"Warszawa Antoninów -
Warszawa Rembertów",1m,9.400,9.600,budowa wiaduktu,364,4,1456,50,"bez
ograniczenia","ruch jednotorowy
dwukierunkowy po torze
czynnym",2024-02-02,2026-02-01,I_korekta_SHZT_2024_2025
1431,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/11,Warszawa Rembertów,2m,11.673,11.823,budowa tunelu,104,24,2496,50,"bez
ograniczenia","ruch po torach czynnych
w stacji",2025-09-01,2025-12-17,I_korekta_SHZT_2024_2025
1432,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,Sokule - Biała Podlaska,"1,2",160.556,171.799,modernizacja,364,4,1456,,"bez
ograniczenia",przerwa w ruchu,2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1433,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,st. Biała Podlaska,"1,2",171.799,174.121,modernizacja,364,4,1456,,"bez
ograniczenia","ruch po torach czynnych
w stacji",2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1434,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,Biała Podlaska - Chotyłów,"1,2",174.121,188.019,modernizacja,364,4,1456,,"bez
ograniczenia",przerwa w ruchu,2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1435,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,Chotyłów - Małaszewicze,"1,2",190.330,198.490,modernizacja,364,4,1456,,"bez
ograniczenia",przerwa w ruchu,2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1436,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,"Magdalenka - Małaszewicze
Południowe","1,2",198.051,198.490,modernizacja,364,4,1456,,"bez
ograniczenia",przerwa w ruchu,2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1437,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,st. Małaszewicze,"1,2",198.490,200.118,modernizacja,364,4,1456,,"bez
ograniczenia","ruch po torach czynnych
w stacji",2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
1438,2,"WARSZAWA
ZACHODNIA -
TERESPOL",IRR1/5,Małaszewicze - Terespol,"1,2",200.118,207.502,modernizacja,364,4,1456,,"bez
ograniczenia",przerwa w ruchu,2023-10-11,2028-10-10,I_korekta_SHZT_2024_2025
