id,number,name,category_id,is_domestic,start_station_id,end_station_id
2,6206,Stryjeńska,5,True,583,515
3,4522,Doker,5,True,532,561
4,23108,Smok Wawelski,5,True,515,517
5,8331,Ślązak,5,True,628,666
6,8328,Lubomirski,8,True,628,517
7,1016,Żubr,5,True,490,483
10,1122,Skaryna,5,True,499,488
11,4551,BIELSKOBGL-GDYNIAGL,6,True,536,561
12,3818,Mehoffer,5,True,666,628
17,8156,Parsęta,5,True,695,482
21,6506,Niegocin,5,True,583,475
22,40,Berlin Wwa Express,7,False,490,996
23,78109,Wielkopolanin,5,True,589,878
24,58106,Gryf,5,True,475,628
25,406,Chopin,5,False,944,490
30,1649,Oleńka,5,True,490,583
32,5600,Lednica,5,True,561,583
35,204,Prater,5,False,916,517
36,1050,Kraszewski,5,True,488,499
38,73102,Pułaski,8,True,589,517
42,30104,Małopolska,8,True,517,825
43,4524,Skarbek,5,True,717,475
48,7510,Pojezierze,5,True,589,475
49,5350,Kaszub,7,True,561,528
51,3828,Lubomirski,8,True,517,628
55,1712,Kiliński,5,True,490,589
56,4508,GLIWICE-GDYNIAGL,6,True,677,561
57,19132,Korczak,5,True,490,482
58,2704,Zielonogórzanin,5,True,745,624
59,1906,Przaśniczka,5,True,490,482
60,4120,Daszyński,5,True,536,483
61,6112,Lech,7,True,583,490
64,1306,WWAWSCH-KRAKOWGL,6,True,490,517
65,58104,Bryza,5,True,475,628
67,1336,Witos,5,True,490,666
68,5100,GDYNIAGL-WWAZACH,7,True,561,488
69,87104,Bogdanka,5,True,878,638
71,5706,Ukiel,5,True,475,589
72,6813,Bosman,5,True,583,695
73,260,Baltic Express,5,False,917,561
76,145,Wigry,5,False,934,628
77,5326,Sienkiewicz,5,True,475,517
79,3820,Barbakan,5,True,517,628
80,7502,Drwęca,5,True,589,475
82,35105,Małopolska,8,True,825,561
83,8610,Merkury,5,True,628,583
84,1604,WWAWSCH-WROCLAWGL,6,True,490,583
86,7200,Strzelecki,5,True,624,515
87,4204,Morcinek,5,True,532,524
